date,Open,High,Low,Close,Adj Close,Volume
2010-02-23,161.679993,162.199997,155.500000,156.460007,156.460007,0
2010-02-24,156.279999,158.460007,154.550003,155.419998,155.419998,0
2010-02-25,154.520004,160.830002,152.529999,160.000000,160.000000,0
2010-02-26,160.649994,161.669998,158.380005,161.389999,161.389999,0
2010-03-01,161.399994,164.500000,160.320007,164.110001,164.110001,0
2010-03-02,164.339996,170.169998,164.320007,167.960007,167.960007,0
2010-03-03,168.679993,172.240005,168.639999,170.279999,170.279999,0
2010-03-04,170.080002,170.600006,166.470001,168.029999,168.029999,0
2010-03-05,168.860001,171.520004,168.839996,170.809998,170.809998,0
2010-03-08,171.009995,172.729996,168.830002,169.210007,169.210007,0
2010-03-09,168.850006,169.889999,167.250000,168.220001,168.220001,0
2010-03-10,168.460007,169.869995,164.699997,165.830002,165.830002,0
2010-03-11,165.529999,167.240005,163.449997,167.240005,167.240005,0
2010-03-12,167.619995,168.589996,165.139999,166.039993,166.039993,0
2010-03-15,165.820007,166.360001,163.369995,165.509995,165.509995,0
2010-03-16,166.059998,170.190002,166.020004,169.919998,169.919998,0
2010-03-17,169.910004,171.800003,169.350006,169.770004,169.770004,0
2010-03-18,169.860001,171.919998,167.520004,168.600006,168.600006,0
2010-03-19,168.669998,169.160004,164.850006,165.990005,165.990005,0
2010-03-22,165.360001,166.669998,162.360001,166.490005,166.490005,0
2010-03-23,166.259995,168.339996,164.089996,167.020004,167.020004,0
2010-03-24,165.710007,165.710007,160.770004,161.100006,161.100006,0
2010-03-25,161.320007,163.130005,158.139999,158.309998,158.309998,0
2010-03-26,159.009995,162.309998,158.410004,161.410004,161.410004,0
2010-03-29,162.419998,164.889999,162.380005,164.539993,164.539993,0
2010-03-30,164.850006,165.449997,162.850006,163.720001,163.720001,0
2010-03-31,163.880005,166.410004,163.830002,165.279999,165.279999,0
2010-04-01,166.410004,171.380005,166.389999,171.279999,171.279999,0
2010-04-05,171.699997,173.949997,171.029999,173.070007,173.070007,0
2010-04-06,172.729996,174.449997,172.050003,172.580002,172.580002,0
2010-04-07,172.639999,177.070007,172.639999,176.050003,176.050003,0
2010-04-08,175.490005,176.330002,173.839996,175.949997,175.949997,0
2010-04-09,176.429993,178.210007,175.610001,177.000000,177.000000,0
2010-04-12,176.440002,178.309998,174.360001,174.960007,174.960007,0
2010-04-13,174.580002,174.619995,170.750000,173.710007,173.710007,0
2010-04-14,174.619995,176.119995,173.539993,174.869995,174.869995,0
2010-04-15,174.690002,175.309998,172.820007,173.059998,173.059998,0
2010-04-16,172.589996,172.610001,166.210007,168.669998,168.669998,0
2010-04-19,168.050003,168.470001,165.229996,168.470001,168.470001,0
2010-04-20,168.880005,171.059998,167.970001,168.009995,168.009995,0
2010-04-21,168.259995,169.539993,166.380005,168.610001,168.610001,0
2010-04-22,168.029999,170.570007,165.639999,170.550003,170.550003,0
2010-04-23,170.479996,172.910004,168.320007,172.429993,172.429993,0
2010-04-26,172.869995,174.440002,171.990005,172.490005,172.490005,0
2010-04-27,172.210007,173.490005,168.800003,171.889999,171.889999,0
2010-04-28,172.779999,178.509995,172.190002,176.600006,176.600006,0
2010-04-29,176.960007,179.889999,176.490005,178.589996,178.589996,0
2010-04-30,178.940002,182.240005,178.809998,179.020004,179.020004,0
2010-05-03,179.610001,180.740005,174.259995,176.570007,176.570007,0
2010-05-04,175.800003,176.369995,170.949997,174.389999,174.389999,0
2010-05-05,172.899994,175.509995,169.059998,172.860001,172.860001,0
2010-05-06,172.919998,177.169998,169.050003,174.589996,174.589996,0
2010-05-07,174.809998,176.149994,169.720001,171.880005,171.880005,0
2010-05-10,172.279999,177.020004,172.279999,176.679993,176.679993,0
2010-05-11,177.860001,186.380005,177.850006,184.250000,184.250000,0
2010-05-12,184.880005,189.179993,184.869995,186.059998,186.059998,0
2010-05-13,185.970001,186.839996,182.149994,182.759995,182.759995,0
2010-05-14,183.389999,185.649994,178.639999,183.800003,183.800003,0
2010-05-17,183.750000,183.789993,177.309998,179.960007,179.960007,0
2010-05-18,180.289993,181.850006,177.300003,178.750000,178.750000,0
2010-05-19,177.559998,177.559998,167.949997,172.529999,172.529999,0
2010-05-20,172.029999,172.039993,163.779999,164.820007,164.820007,0
2010-05-21,164.389999,167.850006,161.990005,166.110001,166.110001,0
2010-05-24,166.759995,169.970001,165.949997,166.059998,166.059998,0
2010-05-25,165.789993,171.520004,164.460007,171.199997,171.199997,0
2010-05-26,172.479996,175.860001,170.559998,170.740005,170.740005,0
2010-05-27,170.979996,176.160004,170.970001,175.600006,175.600006,0
2010-05-28,175.539993,175.740005,172.789993,173.929993,173.929993,0
